地区,年份,考生类别,批次,分数线
西藏,2018,理科,本科一批,445
西藏,2018,理科,本科二批,335
西藏,2018,理科,专科批,213
西藏,2018,文科,本科一批,460
西藏,2018,文科,本科二批,355
西藏,2018,文科,专科批,169
海南,2018,理科,本科批,539
海南,2018,理科,专科批,280
海南,2018,文科,本科批,579
海南,2018,文科,专科批,280
浙江,2018,综合,平行录取一段,588
浙江,2018,综合,平行录取二段,490
浙江,2018,综合,平行录取三段,344
青海,2018,理科,本科一批,403
青海,2018,理科,本科二批,365
青海,2018,理科,本科三批,334
青海,2018,理科,专科批,200
青海,2018,文科,本科一批,475
青海,2018,文科,本科二批,424
青海,2018,文科,本科三批,377
青海,2018,文科,专科批,200
北京,2019,理科,本科批,423
北京,2019,理科,专科提前批,120
北京,2019,理科,专科批,120
北京,2019,理科,自招线,527
北京,2019,理科,艺术类（本科）,295
北京,2019,理科,艺术类（高职专科）,84
北京,2019,理科,体育类（本科）,300
北京,2019,文科,本科批,480
北京,2019,文科,专科提前批,120
北京,2019,文科,专科批,120
北京,2019,文科,自招线,559
北京,2019,文科,艺术类（本科）,335
北京,2019,文科,艺术类（高职专科）,84
北京,2019,文科,体育类（本科）,330
天津,2019,理科,本科批,400
天津,2019,理科,专科批,120
天津,2019,理科,艺术类（本科）,280
天津,2019,理科,体育类（本科）,374
天津,2019,文科,本科批,428
天津,2019,文科,专科批,120
天津,2019,文科,艺术类（本科）,299
天津,2019,文科,体育类（本科）,380
天津,2019,体育文,专科批,131
天津,2019,体育理,专科批,115
天津,2019,艺术文,专科批,84
天津,2019,艺术理,专科批,84
河北,2019,理科,本科一批,502
河北,2019,理科,本科二批,379
河北,2019,理科,专科批,200
河北,2019,文科,本科一批,549
河北,2019,文科,本科二批,461
河北,2019,文科,专科批,220
河北,2019,农林类,本科二批,563
河北,2019,畜牧兽医类,本科二批,571
河北,2019,医学类,本科二批,479
河南,2019,理科,本科一批,502
河南,2019,理科,本科二批,385
河南,2019,理科,专科批,160
河南,2019,理科,体育类（本科）,305
河南,2019,理科,体育类（高职专科）,160
河南,2019,文科,本科一批,536
河南,2019,文科,本科二批,447
河南,2019,文科,专科批,160
河南,2019,文科,体育类（本科）,349
河南,2019,文科,体育类（高职专科）,160
山东,2019,理科,本科批,443
山东,2019,理科,专科批,150
山东,2019,理科,自招线,514
山东,2019,理科,艺术类（本科）,287
山东,2019,文科,本科批,503
山东,2019,文科,专科批,150
山东,2019,文科,自招线,542
山东,2019,文科,艺术类（本科）,326
山东,2019,体育类,专科批,150
山东,2019,体育类,体育类（本科）,303
山东,2019,艺术文,专科批,150
山东,2019,艺术理,专科批,150
山西,2019,理科,本科一批,507
山西,2019,理科,本科二批,432
山西,2019,理科,专科批,130
山西,2019,理科,本科二批C段,352
山西,2019,理科,艺术类（本科一批）,355
山西,2019,理科,艺术类（本科二批）,302
山西,2019,理科,体育类（本科一批）,406
山西,2019,理科,体育类（本科二批）,346
山西,2019,文科,本科一批,542
山西,2019,文科,本科二批,481
山西,2019,文科,专科批,130
山西,2019,文科,本科二批C段,405
山西,2019,文科,艺术类（本科一批）,379
山西,2019,文科,艺术类（本科二批）,337
山西,2019,文科,体育类（本科一批）,434
山西,2019,文科,体育类（本科二批）,385
山西,2019,体育文,专科批,104
山西,2019,体育文,本科二批C段,324
山西,2019,体育理,专科批,104
山西,2019,体育理,本科二批C段,282
山西,2019,艺术文,专科批,91
山西,2019,艺术文,本科二批C段,284
山西,2019,艺术理,专科批,91
山西,2019,艺术理,本科二批C段,246
陕西,2019,理科,本科一批,468
陕西,2019,理科,本科二批,363
陕西,2019,理科,专科批,150
陕西,2019,理科,艺术类（本科）,273
陕西,2019,理科,艺术类（高职专科）,105
陕西,2019,文科,本科一批,518
陕西,2019,文科,本科二批,400
陕西,2019,文科,专科批,150
陕西,2019,文科,艺术类（本科）,300
陕西,2019,文科,艺术类（高职专科）,105
陕西,2019,体育类,体育类（本科）,334
陕西,2019,体育类,体育类（高职专科）,325
内蒙古,2019,理科,本科一批,477
内蒙古,2019,理科,本科二批,352
内蒙古,2019,理科,专科批,160
内蒙古,2019,理科,蒙授本科一批,348
内蒙古,2019,理科,蒙授本科二批,274
内蒙古,2019,理科,蒙授高职高专,120
内蒙古,2019,文科,本科一批,522
内蒙古,2019,文科,本科二批,436
内蒙古,2019,文科,专科批,160
内蒙古,2019,文科,蒙授本科一批,398
内蒙古,2019,文科,蒙授本科二批,320
内蒙古,2019,文科,蒙授高职高专,120
内蒙古,2019,体育类,专科批,120
内蒙古,2019,美工设计类,本科二批,416
内蒙古,2019,采矿类,本科二批,497
内蒙古,2019,医学类,本科二批,489
内蒙古,2019,幼师类,本科二批,573
内蒙古,2019,化工类,本科二批,531
内蒙古,2019,蒙牧医类,本科二批,394
内蒙古,2019,机电类,本科二批,538
内蒙古,2019,建筑类,本科二批,521
内蒙古,2019,汽驾类,本科二批,394
内蒙古,2019,旅游类,本科二批,531
内蒙古,2019,财会类,本科二批,504
内蒙古,2019,牧医类,本科二批,544
内蒙古,2019,农学类,本科二批,525
内蒙古,2019,计算机类,本科二批,542
内蒙古,2019,美工设计类,专科批,120
内蒙古,2019,采矿类,专科批,120
内蒙古,2019,医学类,专科批,120
内蒙古,2019,幼师类,专科批,120
内蒙古,2019,化工类,专科批,120
内蒙古,2019,蒙牧医类,专科批,120
内蒙古,2019,机电类,专科批,120
内蒙古,2019,建筑类,专科批,120
内蒙古,2019,汽驾类,专科批,120
内蒙古,2019,旅游类,专科批,120
内蒙古,2019,财会类,专科批,120
内蒙古,2019,烹饪类,专科批,120
内蒙古,2019,牧医类,专科批,120
内蒙古,2019,农学类,专科批,120
内蒙古,2019,计算机类,专科批,120
辽宁,2019,理科,本科批,369
辽宁,2019,理科,专科批,150
辽宁,2019,理科,自招线,512
辽宁,2019,理科,艺术类（本科）,258
辽宁,2019,理科,艺术类（高职专科）,150
辽宁,2019,理科,体育类（本、专科）,150
辽宁,2019,文科,本科批,482
辽宁,2019,文科,专科批,150
辽宁,2019,文科,自招线,564
辽宁,2019,文科,艺术类（本科）,337
辽宁,2019,文科,艺术类（高职专科）,150
辽宁,2019,文科,体育类（本、专科）,150
吉林,2019,理科,本科一批,530
吉林,2019,理科,本科二批,350
吉林,2019,理科,专科批,150
吉林,2019,理科,艺术类（本科）,263
吉林,2019,理科,体育类（本科）,310
吉林,2019,文科,本科一批,544
吉林,2019,文科,本科二批,372
吉林,2019,文科,专科批,150
吉林,2019,文科,艺术类（本科）,279
吉林,2019,文科,体育类（本科）,344
吉林,2019,艺术类,专科批,105
吉林,2019,体育类,专科批,130
黑龙江,2019,理科,本科一批,477
黑龙江,2019,理科,本科二批,372
黑龙江,2019,理科,本科三批,324
黑龙江,2019,理科,专科批,160
黑龙江,2019,理科,艺术类（本科）,236
黑龙江,2019,理科,体育类（本科）,223
黑龙江,2019,文科,本科一批,500
黑龙江,2019,文科,本科二批,424
黑龙江,2019,文科,本科三批,348
黑龙江,2019,文科,专科批,160
黑龙江,2019,文科,艺术类（本科）,254
黑龙江,2019,文科,体育类（本科）,254
黑龙江,2019,艺术类,专科批,150
黑龙江,2019,体育类,专科批,150
上海,2019,综合,本科批,403
上海,2019,综合,专科批,143
上海,2019,综合,自招线,503
上海,2019,艺术类,艺术类（本科）,262
上海,2019,体育类,体育类（本科）,282
江苏,2019,理科,本科一批,345
江苏,2019,理科,本科二批,307
江苏,2019,理科,专科批,260
江苏,2019,文科,本科一批,339
江苏,2019,文科,本科二批,277
江苏,2019,文科,专科批,230
江苏,2019,体育类,体育类（本科）,211
安徽,2019,理科,本科一批,496
安徽,2019,理科,本科二批,426
安徽,2019,理科,专科批,200
安徽,2019,理科,艺术A类（本科）,299
安徽,2019,理科,艺术B类（本科）,277
安徽,2019,理科,艺术类（高职专科）,160
安徽,2019,理科,体育类（本科）,277
安徽,2019,理科,体育类（高职专科）,200
安徽,2019,文科,本科一批,550
安徽,2019,文科,本科二批,504
安徽,2019,文科,专科批,200
安徽,2019,文科,艺术A类（本科）,353
安徽,2019,文科,艺术B类（本科）,328
安徽,2019,文科,艺术类（高职专科）,160
安徽,2019,文科,体育类（本科）,328
安徽,2019,文科,体育类（高职专科）,200
江西,2019,理科,本科一批,522
江西,2019,理科,本科二批,449
江西,2019,理科,专科批,160
江西,2019,理科,军校军检线,512
江西,2019,文科,本科一批,558
江西,2019,文科,本科二批,502
江西,2019,文科,专科批,160
江西,2019,文科,军校军检线,548
湖北,2019,理科,本科一批,505
湖北,2019,理科,本科二批,388
湖北,2019,理科,专科批,200
湖北,2019,理科,专科批（独立学院、民办）,150
湖北,2019,文科,本科一批,542
湖北,2019,文科,本科二批,445
湖北,2019,文科,专科批,200
湖北,2019,文科,专科批（独立学院、民办）,150
湖北,2019,体育类,体育类（本科）,329
湖北,2019,体育类,体育类（高职专科）,120
湖南,2019,理科,本科一批,500
湖南,2019,理科,本科二批,448
湖南,2019,理科,本科三批,414
湖南,2019,理科,专科批,200
湖南,2019,理科,体育类（本科一批）,356
湖南,2019,理科,体育类（本科二批）,338
湖南,2019,理科,体育类（本科三批）,324
湖南,2019,理科,体育类（高职专科）,160
湖南,2019,文科,本科一批,553
湖南,2019,文科,本科二批,523
湖南,2019,文科,本科三批,495
湖南,2019,文科,专科批,200
湖南,2019,文科,体育类（本科一批）,410
湖南,2019,文科,体育类（本科二批）,399
湖南,2019,文科,体育类（本科三批）,385
湖南,2019,文科,体育类（高职专科）,160
重庆,2019,理科,本科一批,525
重庆,2019,理科,本科二批,435
重庆,2019,理科,专科批,180
重庆,2019,文科,本科一批,545
重庆,2019,文科,本科二批,458
重庆,2019,文科,专科批,180
重庆,2019,体育类,本科批,333
重庆,2019,体育类,专科批,180
四川,2019,理科,本科一批,547
四川,2019,理科,本科二批,459
四川,2019,理科,专科批,150
四川,2019,文科,本科一批,540
四川,2019,文科,本科二批,472
四川,2019,文科,专科批,150
贵州,2019,理科,本科一批,470
贵州,2019,理科,本科二批,369
贵州,2019,理科,专科批,180
贵州,2019,理科,体育类（本科）,308
贵州,2019,理科,体育类（高职专科）,160
贵州,2019,文科,本科一批,542
贵州,2019,文科,本科二批,453
贵州,2019,文科,专科批,180
贵州,2019,文科,体育类（本科）,403
贵州,2019,文科,体育类（高职专科）,160
云南,2019,理科,本科一批,535
云南,2019,理科,本科二批,435
云南,2019,理科,专科批,200
云南,2019,理科,艺术类（本科）,345
云南,2019,理科,艺术类（高职专科）,200
云南,2019,理科,体育类（本科）,360
云南,2019,理科,体育类（高职专科）,200
云南,2019,文科,本科一批,560
云南,2019,文科,本科二批,480
云南,2019,文科,专科批,200
云南,2019,文科,艺术类（本科）,400
云南,2019,文科,艺术类（高职专科）,200
云南,2019,文科,体育类（本科）,405
云南,2019,文科,体育类（高职专科）,200
广东,2019,理科,本科批,390
广东,2019,理科,专科批,160
广东,2019,理科,地方专项计划本科批,465
广东,2019,理科,高分优先投档线,495
广东,2019,文科,本科批,455
广东,2019,文科,专科批,170
广东,2019,文科,地方专项计划本科批,516
广东,2019,文科,高分优先投档线,546
广东,2019,体育类,体育类（本科）,300
广东,2019,体育类,体育类（高职专科）,190
广东,2019,学考理,专科批,120
广东,2019,学考文,专科批,120
广西,2019,理科,本科一批,509
广西,2019,理科,本科二批,347
广西,2019,理科,专科批,180
广西,2019,理科,艺术类（本科）,260
广西,2019,理科,艺术类（高职专科）,126
广西,2019,文科,本科一批,521
广西,2019,文科,本科二批,388
广西,2019,文科,专科批,180
广西,2019,文科,艺术类（本科）,291
广西,2019,文科,艺术类（高职专科）,126
广西,2019,体育类,体育类（本科）,210
广西,2019,体育类,体育类（高职专科）,160
福建,2019,理科,本科一批,493
福建,2019,理科,本科二批,393
福建,2019,理科,专科批,220
福建,2019,理科,艺术类（本科）,255
福建,2019,理科,艺术类（高职专科）,154
福建,2019,理科,体育类（本科）,255
福建,2019,理科,体育类（高职专科）,154
福建,2019,文科,本科一批,550
福建,2019,文科,本科二批,464
福建,2019,文科,专科批,220
福建,2019,文科,艺术类（本科）,302
福建,2019,文科,艺术类（高职专科）,154
福建,2019,文科,体育类（本科）,302
福建,2019,文科,体育类（高职专科）,154
甘肃,2019,理科,本科一批,470
甘肃,2019,理科,本科二批,366
甘肃,2019,理科,专科批,160
甘肃,2019,文科,本科一批,519
甘肃,2019,文科,本科二批,400
甘肃,2019,文科,专科批,160
宁夏,2019,理科,本科一批,457
宁夏,2019,理科,本科二批,381
宁夏,2019,理科,专科批,200
宁夏,2019,理科,体育类（本科一批）,447
宁夏,2019,理科,体育类（本科二批）,357
宁夏,2019,理科,体育类（高职专科）,200
宁夏,2019,理科,国家专项计划本科一批,457
宁夏,2019,理科,国家专项计划本科二批,381
宁夏,2019,理科,地方专项计划本科一批,457
宁夏,2019,文科,本科一批,538
宁夏,2019,文科,本科二批,455
宁夏,2019,文科,专科批,200
宁夏,2019,文科,体育类（本科一批）,505
宁夏,2019,文科,体育类（本科二批）,442
宁夏,2019,文科,体育类（高职专科）,200
宁夏,2019,文科,国家专项计划本科一批,538
宁夏,2019,文科,国家专项计划本科二批,455
宁夏,2019,文科,地方专项计划本科一批,538
新疆,2019,理科,本科一批,450
新疆,2019,理科,本科二批,326
新疆,2019,理科,专科批,180
新疆,2019,文科,本科一批,510
新疆,2019,文科,本科二批,387
新疆,2019,文科,专科批,180
新疆,2019,艺术类,本科提前批,137
新疆,2019,艺术类,专科提前批,100
新疆,2019,体育类,本科提前批,160
新疆,2019,体育类,专科提前批,135
西藏,2019,理科,重点本科批,425
西藏,2019,理科,普通本科批,320
西藏,2019,理科,专科批,205
西藏,2019,理科,艺术类本科批（汉）,224
西藏,2019,理科,艺术类（高职专科）,144
西藏,2019,理科,体育类本科批（汉）,224
西藏,2019,理科,体育类（高职专科）,144
西藏,2019,理科,重点本科批（少）,325
西藏,2019,理科,普通本科批（少）,283
西藏,2019,理科,艺术类本科批（少）,198
西藏,2019,理科,体育类本科批（少）,198
西藏,2019,文科,重点本科批,420
西藏,2019,文科,普通本科批,320
西藏,2019,文科,专科批,155
西藏,2019,文科,艺术类本科批（汉）,224
西藏,2019,文科,艺术类（高职专科）,109
西藏,2019,文科,体育类本科批（汉）,224
西藏,2019,文科,体育类（高职专科）,109
西藏,2019,文科,重点本科批（少）,350
西藏,2019,文科,普通本科批（少）,300
西藏,2019,文科,艺术类本科批（少）,210
西藏,2019,文科,体育类本科批（少）,210
海南,2019,理科,本科批A段,539
海南,2019,理科,本科批B段,481
海南,2019,理科,专科提前批,280
海南,2019,理科,专科批,280
海南,2019,理科,自招线,603
海南,2019,理科,国家专项计划批,539
海南,2019,文科,本科批A段,593
海南,2019,文科,本科批B段,522
海南,2019,文科,专科提前批,280
海南,2019,文科,专科批,280
海南,2019,文科,自招线,654
海南,2019,文科,国家专项计划批,593
海南,2019,艺术类,专科提前批,196
海南,2019,艺术类,艺术类（本科）,415
海南,2019,体育类,专科批,279
海南,2019,体育类,体育类（本科）,441
浙江,2019,综合,平行录取一段,595
浙江,2019,综合,平行录取二段,496
浙江,2019,综合,平行录取三段,264
浙江,2019,体育类,体育类（平行录取一段）,507
浙江,2019,体育类,体育类（平行录取二段）,452
青海,2019,理科,本科一批,407
青海,2019,理科,本科二批,376
青海,2019,理科,本科三批,348
青海,2019,理科,专科批,160
青海,2019,理科,体育类（本科）,328
青海,2019,理科,体育类（高职专科）,160
青海,2019,理科,贫困地区专项计划（本科一批）,397
青海,2019,理科,贫困地区专项计划（本科二批）,366
青海,2019,理科,省外院校民族班、民族预科（本科一批）,397
青海,2019,理科,省外院校民族班、民族预科（本科二批）,366
青海,2019,理科,省内院校本科民族预科,356
青海,2019,理科,省内专项（本科一批）,382
青海,2019,理科,省内专项（本科二批）,361
青海,2019,文科,本科一批,488
青海,2019,文科,本科二批,444
青海,2019,文科,本科三批,405
青海,2019,文科,专科批,160
青海,2019,文科,体育类（本科）,400
青海,2019,文科,体育类（高职专科）,160
青海,2019,文科,贫困地区专项计划（本科一批）,478
青海,2019,文科,贫困地区专项计划（本科二批）,434
青海,2019,文科,省外院校民族班、民族预科（本科一批）,478
青海,2019,文科,省外院校民族班、民族预科（本科二批）,434
青海,2019,文科,省内院校本科民族预科,424
青海,2019,文科,省内专项（本科一批）,463
青海,2019,文科,省内专项（本科二批）,429
